"country","2000_tb_deaths_per_100k","2001_tb_deaths_per_100k","2002_tb_deaths_per_100k","2003_tb_deaths_per_100k","2004_tb_deaths_per_100k","2005_tb_deaths_per_100k","2006_tb_deaths_per_100k","2007_tb_deaths_per_100k","2008_tb_deaths_per_100k","2009_tb_deaths_per_100k","2010_tb_deaths_per_100k","2000_gov_health_spending_usd","2001_gov_health_spending_usd","2002_gov_health_spending_usd","2003_gov_health_spending_usd","2004_gov_health_spending_usd","2005_gov_health_spending_usd","2006_gov_health_spending_usd","2007_gov_health_spending_usd","2008_gov_health_spending_usd","2009_gov_health_spending_usd","2010_gov_health_spending_usd"
"Solomon Islands",10,9.5,8.1,9,10,12,11,11,11,9.8,8.8,45.8,58.7,46,42.2,42.6,68,59,63.9,65.8,95.5,99.6
"South Africa",317,376,358,398,400,440,427,422,392,371,360,102,90.5,81.5,126,151,175,184,202,203,228,286
"Spain",2.3,2,2,2,1.5,1.6,1.3,1.3,1.1,1.2,1.2,745,771,859,1210,1410,1520,1670,1950,2270,2230,2100
"Sri Lanka",7.3,7.4,6.9,7.2,9.3,5.2,5.1,5.1,5.4,5.6,4.9,15.8,14.3,14.8,16,20.6,23.4,27.9,29.4,31.7,30.1,31.3
"St. Kitts and Nevis",2.3,2.3,2.7,3.1,3.5,3.9,4.2,2.1,2.1,2.1,2.1,234,223,212,202,193,212,298,292,270,258,405
"St. Lucia",0.87,0.78,1.2,1.4,4.1,3.7,2.2,2,2,1.1,0.62,143,151,151,146,160,164,198,195,239,294,282
"St. Vincent and the Grenadines",3.2,2,0.96,5.6,3.6,1.1,3.4,4.2,1.8,2.2,5.7,113,118,138,143,145,150,179,202,251,241,240
"Sudan",35,33,33,32,33,34,33,36,27,29,28,3.32,3.72,4.22,5.54,7.59,9.77,14.9,23.1,32,25.9,25
"Suriname",2.3,3.1,2.4,3.9,2.7,3,3,3.2,4.8,5.9,7,74,62.6,79.9,87.7,100,125,165,171,186,238,235
"Sweden",0.84,1,1.2,0.7,0.59,0.7,0.76,0.72,0.73,0.69,0.41,1940,1840,2110,2680,2980,3020,3190,3670,3970,3540,3820
"Switzerland",0.94,0.81,0.72,0.61,0.58,0.55,0.57,0.46,0.53,0.44,0.44,1950,2110,2390,2880,3210,3310,3290,3590,4160,4290,4610
"Syria",0.49,0.52,0.44,0.39,0.29,0.36,0.34,0.24,0.26,0.26,0.14,23.9,25.5,26.2,29.1,29.1,31.6,32.2,38.9,41.8,43.9,44.4
"Tajikistan",15,15,15,14,14,14,13,13,12,12,12,1.32,1.65,1.76,2.23,3.06,4.1,4.9,6.67,10.6,10.8,13.1
"Tanzania",224,211,212,207,212,218,221,214,204,192,169,4.38,4.77,4.61,5.88,5.18,6.87,13.8,15,16.5,17.9,20.8
"Thailand",65,55,52,47,43,40,33,32,30,27,24,37,33.8,46.1,49.9,55.7,60.4,78.2,99.1,121,119,134
"Togo",15,14,15,16,16,16,17,22,18,17,19,4.08,3.33,2.64,4.66,6.16,7.41,8.99,9.62,13.2,17.6,18
"Tonga",2.3,1.2,2.8,1.5,1.1,1.7,1.7,2.1,1.2,0.73,1,64.5,72.6,69.9,88.1,95.3,146,138,174,176,115,140
"Trinidad and Tobago",3.6,2.8,2.8,2.6,2.8,2.5,3.7,2.5,2.7,3,2.5,106,133,168,208,233,364,371,387,444,514,516
"Tunisia",1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,67.2,65.5,67.3,80,92.5,93.3,101,113,133,133,129
"Turkey",2.5,2.1,1.8,1.5,0.84,1.3,0.91,0.96,1.1,1.4,1.2,129,105,133,174,221,259,301,375,455,432,510
"Turkmenistan",28,29,22,24,23,24,22,22,20,19,20,35.9,42.9,46,66.6,73.2,73.1,68.9,74.2,41.1,54.7,63
"Tuvalu",16,16,13,30,15,11,8.4,17,16,16,13,231,245,238,410,370,402,447,475,623,402,568
"UAE",0.68,0.67,0.67,0.67,0.67,0.66,1.1,0.73,0.83,0.74,0.68,577,638,578,611,588,608,659,718,1010,1310,1080
"Uganda",104,81,68,60,56,61,61,60,59,58,56,4.19,4.64,5.2,5.28,5.92,7.26,7.02,7.33,7.79,9.59,10.2
"UK",1.1,1.1,1.1,1.1,0.94,0.94,0.95,0.76,0.83,0.76,0.69,1390,1440,1640,1940,2390,2550,2780,3160,3130,2900,2940
"Ukraine",29,29,26,25,27,31,28,27,27,23,23,18.5,24.1,31,42.5,53.1,70,89.8,121,150,110,133
"Uruguay",3,2.8,2.2,2.8,3.4,2.4,1.8,3,2.1,2.6,2.1,422,380,239,178,172,219,262,307,460,514,669
"USA",0.62,0.58,0.54,0.48,0.43,0.39,0.36,0.31,0.3,0.27,0.26,2030,2230,2410,2610,2790,2950,3170,3360,3550,3800,4440
"Uzbekistan",19,19,19,18,16,15,14,13,12,11,10,14,11.8,9.26,9.46,10.6,12.6,15.9,19.3,26.3,33.1,39.1
"Vanuatu",14,16,8.9,8.7,14,21,10,11,14,11,14,40.2,38,39.3,43.4,45.8,44.4,50.8,77.5,98,110,143
"Venezuela",4.4,4.7,4.3,4.5,4.3,3.8,3.6,3.4,3.1,2.7,3,114,120,81.7,72.5,99,128,162,222,269,276,232
"Vietnam",41,39,39,39,36,37,35,30,27,27,25,6.47,7.21,6.83,8.15,8.37,9.84,15.3,23.4,23.8,28.9,31.4
"Yemen",19,18,19,19,17,16,15,13,11,8.7,6.9,13.6,14.3,14.2,16.6,14.5,14.3,16.3,17.1,21.1,16.8,15.3
"Zambia",228,229,167,134,139,150,150,148,152,138,132,9.23,11.7,14.7,16.2,18.4,24.1,35,31.1,43.2,36.7,43.9
